primer,role,mg_total,mg_free,tm_on,tm_off,n_mismatch,best_offtarget,S
LF,"loop fwd",5.5,3.9135,59.336,36.539,6,"DENV-3 M93130.1 pos2591(+) 6mm",22.797
LF,"loop fwd",6.0,4.4120,59.511,36.729,6,"DENV-3 M93130.1 pos2591(+) 6mm",22.782
LF,"loop fwd",6.5,4.9108,59.662,36.894,6,"DENV-3 M93130.1 pos2591(+) 6mm",22.768
LF,"loop fwd",7.0,5.4098,59.793,37.038,6,"DENV-3 M93130.1 pos2591(+) 6mm",22.755
LF,"loop fwd",7.5,5.9090,59.908,37.166,6,"DENV-3 M93130.1 pos2591(+) 6mm",22.742
LF,"loop fwd",8.0,6.4083,60.010,37.281,6,"DENV-3 M93130.1 pos2591(+) 6mm",22.730
LF,"loop fwd",8.5,6.9077,60.102,37.384,6,"DENV-3 M93130.1 pos2591(+) 6mm",22.718
LF,"loop fwd",9.0,7.4072,60.185,37.479,6,"DENV-3 M93130.1 pos2591(+) 6mm",22.707
LF,"loop fwd",9.5,7.9067,60.260,37.565,6,"DENV-3 M93130.1 pos2591(+) 6mm",22.696
LF,"loop fwd",10.0,8.4063,60.329,37.644,6,"DENV-3 M93130.1 pos2591(+) 6mm",22.685
LB,"loop rev",2.0,0.5000,55.179,-16.964,5,"DENV-3 M93130.1 pos2306(-) 5mm",72.142
LB,"loop rev",2.5,0.9540,56.794,-15.833,5,"DENV-3 M93130.1 pos2306(-) 5mm",72.627
LB,"loop rev",3.0,1.4363,57.710,-15.182,5,"DENV-3 M93130.1 pos2306(-) 5mm",72.892
LB,"loop rev",3.5,1.9272,58.316,-14.746,5,"DENV-3 M93130.1 pos2306(-) 5mm",73.062
LB,"loop rev",4.0,2.4217,58.756,-14.426,5,"DENV-3 M93130.1 pos2306(-) 5mm",73.182
LB,"loop rev",4.5,2.9181,59.095,-14.177,5,"DENV-3 M93130.1 pos2306(-) 5mm",73.271
LB,"loop rev",5.0,3.4155,59.367,-13.975,5,"DENV-3 M93130.1 pos2306(-) 5mm",73.342
LB,"loop rev",5.5,3.9135,59.592,-13.806,5,"DENV-3 M93130.1 pos2306(-) 5mm",73.398
LB,"loop rev",6.0,4.4120,59.782,-13.663,5,"DENV-3 M93130.1 pos2306(-) 5mm",73.445
LB,"loop rev",6.5,4.9108,59.945,-13.539,5,"DENV-3 M93130.1 pos2306(-) 5mm",73.484
LB,"loop rev",7.0,5.4098,60.088,-13.430,5,"DENV-3 M93130.1 pos2306(-) 5mm",73.517
LB,"loop rev",7.5,5.9090,60.213,-13.333,5,"DENV-3 M93130.1 pos2306(-) 5mm",73.546
LB,"loop rev",8.0,6.4083,60.325,-13.246,5,"DENV-3 M93130.1 pos2306(-) 5mm",73.571
LB,"loop rev",8.5,6.9077,60.425,-13.167,5,"DENV-3 M93130.1 pos2306(-) 5mm",73.593
LB,"loop rev",9.0,7.4072,60.516,-13.096,5,"DENV-3 M93130.1 pos2306(-) 5mm",73.612
LB,"loop rev",9.5,7.9067,60.598,-13.031,5,"DENV-3 M93130.1 pos2306(-) 5mm",73.629
LB,"loop rev",10.0,8.4063,60.674,-12.971,5,"DENV-3 M93130.1 pos2306(-) 5mm",73.644
